unique_ID,INFA,CAL,VEFN,VNG,RALA,RAST,COL,COLL,STAE,TUA,STATL,LABL,LABW,CLL,STAL,STAW,ANL,ANW,STIW,STYL,VFN,FNSC,EFNSC
62_114,NA,NA,NA,NA,NA,NA,44.725,28.875,-2.6,12.75,6.275,53.85,24.425,7.125,51.25,9.375,6.55,3.05,3.15,45.05,25.152,34.8,0.7437384
62_115,NA,NA,NA,NA,NA,NA,40.36,28.2,-4,20,4.4,50.1,17.2,5.6,46.1,NA,7.8,2.6,3,30.4,NA,NA,NA
62_117,NA,NA,NA,NA,NA,NA,37.5,24.6,-1.9,24,4,47.6,20.6,2.8,45.7,7.5,5.8,2.9,3.3,31.7,NA,NA,NA
62_120,NA,NA,NA,NA,NA,NA,48.9,31.8,-2.9,15,7.5,56.2,26.6,5.1,53.3,10.3,6.8,2.9,3.1,46.4,28.1566666666667,32.8333333333333,4.59647866666667
62_191,NA,NA,NA,NA,NA,NA,NA,28.6,-2.9,NA,4.4,53.4,21.3,3.8,50.5,9.8,5.8,2.7,3.4,35.6,NA,NA,NA
62_2,NA,NA,NA,NA,NA,NA,47.3,31.8,-4.5,14,7.1,56.1,23.6,6.5,51.6,8.9,6.6,2.4,3,43.5,NA,NA,NA
62_222,NA,NA,NA,NA,NA,NA,38.35,21.45,-1.1,20,5.25,46.5,21.6,8.1,45.4,8.75,6.25,2.45,2.9,41.9,NA,NA,NA
62_243,NA,NA,NA,NA,NA,NA,39.1,24,1.6,22,5.3,46.4,21.7,5.3,48,7.5,5.5,2.1,2.5,38.3,NA,NA,NA
62_265,NA,NA,NA,NA,NA,NA,40.1,22.9,2.3,33.5,6.85,50.6,24.15,5.85,52.9,8.15,6.25,2.6,3.1,38.7,8.005,35.5,0.50053
62_271,NA,NA,NA,NA,NA,NA,47.4,29,-0.9,21,7.3,56.4,25.3,5.4,55.5,8.3,6.8,3,3.2,42.1,NA,NA,NA
62_288,NA,NA,NA,NA,NA,NA,41.9,25.75,-3.5,18.5,5.9,50.6,25,6.65,47.1,9.15,6.15,2.15,2.8,41.1,18.601,26.3,1.714784
62_354,NA,NA,NA,NA,NA,NA,38.8,20.8666666666667,-2.33333333333333,19,5.36666666666667,48.7333333333333,17.0666666666667,4.53333333333333,46.4,8.06666666666667,6.46666666666667,3.36666666666667,2.3,33.4333333333333,11.635,30.25,0
62_361,NA,NA,NA,NA,NA,NA,39.3,24.7,0.566666666666667,21.6666666666667,5.1,46.1,18.7333333333333,3.16666666666667,46.6666666666667,8.26666666666667,5.9,2.86666666666667,2.53333333333333,32.8333333333333,NA,NA,NA
62_368,NA,NA,NA,NA,NA,NA,49.8,32.5,-3,14,7.6,58.7,26.9,6.9,55.7,9.8,6.8,2.6,3,44.9,NA,NA,NA
62_54,NA,NA,NA,NA,NA,NA,48.3,31.5,-1.9,27,5.3,53.5,27.2,5.7,51.6,9.4,8.3,2.8,3.3,38.5,NA,NA,NA
62_6,NA,NA,NA,NA,NA,NA,49,30.3,-1.5,23,5.2,55.7,20.7,6.4,54.2,5.9,6.9,2.8,3.6,37.1,NA,NA,NA
62_89,NA,NA,NA,NA,NA,NA,43.8,27.3,-2.1,26,5.9,53.1,23.8,7.8,51,8.8,7.5,3,3.5,39.7,NA,NA,NA
62_98,NA,NA,NA,NA,NA,NA,41.2,24,0,34,5.9,47.3,22.1,6,47.3,7.5,8.7,2.7,2.5,35.1,NA,NA,NA
39_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.235,32.5,2.0336
39_114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22125,29.75,0
39_134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.035,34.5,0.80396
39_143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.605,28.25,0.200212
39_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.514,32,0.5700688
39_64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.07,23,2.0336
39_68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.13833333333333,29.8333333333333,3.234584
39_69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.615,20,2.44992
39_85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.46,26.5,5.017968
39_91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6975,22.875,8.215072
62_102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.72,25,2.0336
62_111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.105,34.3333333333333,2.68489333333333
62_204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.675,32,1.210644
62_218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3025,28.25,0.40198
62_249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8525,29.5,0.605322
62_257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.26,27,4.364886
62_298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.49,33,0.400424
62_319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.227,30.1,1.3074512
62_68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.47,27.5,5.017968
